rating,title,description,job_title
3.0,Simple ,"It's okay. Not much room to grow, to get anything straight is very hard as everything is done over email or phone reps in India. They should be less Mico managing",Shipping Clerk
4.0,Right people right place,"I honestly love my job at Amazon. Work goes by quick, employees are pleasant and managers are ok. Benefits are okay as well. Would def recommend to college students.",Warehouse Worker
5.0,Flexible schedule,I like the flexibility to pick up shifts or be able to take off shifts as needed within a set of parameters. Met a lot of nice people. Work went by fast most of the time.,Warehouse Associate
4.0,Buen ambiente laboral ,"Es una buena empresa con personal de recursos humanos pendientes de los trabajadores. Buena supervision ,modernas y limpias instalaciones.  Buena paga y beneficios ",Almacen
2.0,You are overworked and underpaid,I feel like the money Amazon makes they should take better care of the employees and offer more money. You can easily make money there but you have to physically exhaust yourself to do so.,Packer/Picker
2.0,Hot hard work,On your feet for 10 hours a night. The warehouse is always hot and an employee passed out the other night.,Packer
5.0,Love this place they are finally giving raises,Great place to work salary is good to start love full time now that they cut part time. I've worked for amazon for almost 3 years September 4th 2021 and I love my job don't really like the hours but I'm glad I don't have a little kid my daughter is 18 to just graduated a the hours I didn't think I would be able to do the hours but I'm okay as long as I get some sleep but I do think that Amazon should work on different shifts but I am okay with this shift,Ambassador
5.0,Fun place to work people were cool,"Loved it for me personally, would definitely say it is for the younger generation as it is fast paced and very physical but Amazon is a good company that invests in youth and helps them achieve greater things.",Learning Ambassador
1.0,No benefits for drivers.  DSP owners govern by fear tactics,"Working for an Amazon DSP is a dead end job.  The owners  will post a delivery job to hire people.  They will say it is a 10 hour shift, four days a week.  Amazon pays the owner for 10 hours for every shift they accept.  Then the owner will turn to the drivers and instruct them to get done in under eight hours.  If the driver is not getting done, they can and most likely will be written up.  Amazon makes each route based on a ten hour shift.  DSP owners will ask drivers why they aren't working faster.  If a driver does get done in under eight hours, the owner will have them go take packages off another driver to get the other driver done in under eight hours.  They will then write up the other driver for being ""rescued"".  Routes are rarely corrected.  Drivers don't have access to restroom facilities.  The whole time the driver is doing their job, there is a camera fixed on them recording everything.  Suggestion is to stay away from Amazon.",Delivery Associate
1.0,Bait and Switch,Bait and Switch completely encapsulates their strategy for dealing with employees. The $1000 sign on bonus promised was cancelled without explanation.,Warehouse Team Member
3.0,Whatever you heard about Amazon it’s mostly true.  ,Leadership is so bad that they can’t do anything about bad workers and get rid of those that actually work. At the end of the day it’s still a job like any other. It’s who you work with that makes it or breaks it. ,OTR/RTS Associate
2.0,Decent First Job but…,"it’s a decent job right out of high school but leaves a little to be desired if you wanna move up in pay. it’s impossible, however if you want a decent job to pay bills and get hired quickly they are the place ",Order Picker
3.0,Just another cog,The company has a hiring system and positions designed to quickly hire naive workers for strenuous jobs. Employees work in bad conditions for long hours and are not being compensated enough. There is very little opportunity to move up the ladder. Their systems is set so that workers can easily be replaced by another cog.,Warehouse Associate
4.0,"Good money, a job not a career","I worked night shift so it;s tough to get acclimated with the schedule. The pay is good especially on night shift, but it is a very bureaucratic company. ",Picker
3.0,It can be a great place to work at.,"It can be a very exciting place to work and the benefits are great but they often take decisions and change managers without the concern of the worker ,and that can be very difficult to ajust to another manager. They could also do better with the pay because most warehouse pay better.",Warehouse Associate
4.0,Hard work with little appreciation. ,You work so hard and get little appreciation. They always complain about rate yet no work so you're constantly running up and down stairs. Almost impossible to get a decent rate when doing that. Pay is good and benefits are amazing. ,Amazon Fulfillment Associate
2.0,A Job,Worked there for years... if you need money &amp; willing to work hard.. go for it! Working the right position will save you a lot of mental &amp; physical stress!,Warehouse Associate
3.0,Schwieriger Arbeitgeber,"Ich habe im Software Testing gearbeitet. Meine Kollegen und die Projektmanager, mit denen ich direkten Kontakt hatte, waren zwar sehr nett, aber es war bald klar, dass ich als einzelne Person in diesem Behemoth nicht besonders gewertschätzt wurde. Ich empfand mein Gehalt als unterdurchschnittlich und meine Aufgabe nicht meinen Kompetenzen entsprechend. Sie waren auch anders, als beim Bewerbungsgespräch angekündigt. Meine Tasks waren nicht für einen erfahrenen Senior Tester sondern eher für einen Junior geeignet. Ich habe nur gelernt, dass man auch bei Amazon nur mit Wasser kocht. Es war keine Horror-Erfahrung, aber überzeugt hat mich das nicht.",QA Engineer
3.0,Cool learning ,Learning experience for sure. Poor management don’t care if you get back late. Lack of communication when on the field                                 ,Driver
4.0,Good environment ,The team I worked with was great . They were very welcoming and supportive while I was going through training. I always felt I had the support I needed through out the learning process ,Production Assistant
3.0,Your a cog ,You're a cog and a big machine and they let you know you can be replaced good thing is you get paid weekly and that's about it depending on what department you're in you'll get a nice workout,Amazon Fulfillment Associate
1.0,horrible,"they over work you, personally don't care about your well being at all and have horrible managers  they honestly just want work done faast paced they dont even care if you get injured ",Amazon Warehouse Associate
2.0,Terrible place,Turnover is incredibly high. Pressure from management can be frustrating at times. If you're making an above average rate management will expect this regularly and pressure you to work harder. ,Packer/Shipper
1.0,Don't bother,Not worth your time or energy. Apply anywhere else. Long hours. Short breaks. Always on your feet. Terrible management. You will not get promoted so don't even try.,Stower
3.0,"It,s alright but could do better","If your looking for a temporary job,Amazon is a great place,but for permanent employment I wouldn't recommend it due to the fact it's organized chaos mostly just chaos ",Amazon Warehouse Associate
5.0,A Good Place to Learn,"Amazon is brutal sometimes, but it can be a great place to learn and grow. If you're on the right team, you will have a better time than if you're on a bad team. ",Program Manager
1.0,Just don't,There are pretty much great jobs out there who values you as a person more than this company. Good benefits and good pay but the management inside each warehouse just don't care about you. ,Associate
5.0,Great job and/or career,It’s a job you have good and bad days but pay and benefits are amazing but they do need to start following through with more internal promotions though ,Warehouse Worker
2.0,don't wast your time here,"don't wast your time at amazon, there is no future there and nobody cares if you success at your job or your life, go somewhere eles if you want a job with future.",Quality assurance
1.0,"I hate it here, you are a robot and managers hate it too",I don’t like it here but they pay okay. I have left the job for one that pays the same but gives me more respect. Amazon has everyone (even a management) as a number and you have to oblige to them.,Warehouse Associate
3.0,Busy,You definitely have to be ready to keep up. The benefits are great. The most annoying thing for me was the rush at the time clock and during shift end.,Packer
3.0,Maybe Covid impacted the functionality of this location ,I worked at a sort center in Houston and my experience was terrible. I lasted 2 days and didn’t go back. Completely disorganized and they did not do a thing to prevent the spread of covid. ,Warehouse Associate
2.0,Not really the best place to work.,"I'm a software engineer at Amazon. I'm part of a team that works on a plethora of projects. Despite that, the work can get quite repetitive; especially when you're working with a manager that has no tech background whatsoever.",Software Engineer
4.0,Ok,The company is alright very high pay grade  it’s great all the hours you can work and so much more benefits ! I don’t have anything else to say about this company.,Warehouse Associate
4.0,"Good money, a job not a career","I worked night shift so it;s tough to get acclimated with the schedule. The pay is good especially on night shift, but it is a very bureaucratic company. ",Picker
2.0,Nahhhhhh,"So I’ve worked at Amazon for 3 years. Would be a top performer. Never got recognized, never got to get cross trained or do anything that didn’t hide me in a corner. Unqualified people moving up. Just a number. Not worth the stress. ",Associate
1.0,Terrible managers,Good pay but you’re just another person who works there and they treat you as if you are easily replaceable. There’s no sense of trust or family in the company.,Warehouse Associate
4.0,Easy job ,The job is very easy and simple management sucks leadership trash nobody listens to the employees everything is corporate this corporate that well they need to put a undercover boss in every location people only there cause of the benefits i think they should change some of the rules won’t have a big turnover rate .,Stower/Picker
4.0,"Great place to innovate, but be prepared to do deal with the hierarchy...","It is definitely a great place where you can innovate and build unique solutions. However, at times given the size of the organization you will get sucked in to a hierarchical system and can become exhausting.",Program Manager
1.0,Bad overall,"This is the last place to work for. Please look somewhere else. Just look for somewhere else, its not a good place to be at. Horrible people, horrible managers, and and bad pay for manual labor. ",Amazon Warehouse Seasonal Worker
2.0,"Very disorganized,  You don't exist, Watched like a prisoner","This is very disorganized business. The training inadequate. Doing your work they way you are supposed to means you won't meet your numbers. You are a human robot to be exploited, nothing more, nothing less.",Order Picker
2.0,Difficult job to manage ,The pay is okay but it's hard to find accommodation. They advocate for it but purposely make it hard to navigate and get what you need in terms of accommodations. I would say this is ideal for someone not juggling too many things in life.,Warehouse Associate
4.0,"Good place to get experience, company is growing too fast","This company is not the worst I have worked for, but I do think amazon is growing too fast to keep up. Having an understaffed department allows people to fall through the cracks because management is so busy trying to do the job of several at once. If there was enough staff then it would be better. I think most issues would be solved by having enough consistent staff to fill roles.",Area Manager
1.0,Truly awful,"Every horrible thing you've heard about the Amazon warehouses is true. You're overworked, treated badly, and poorly compensated. Your breaks are too short and the rates are unreasonable.",Warehouse Associate
3.0,Poor management,"I worked in customer service and every person who called in was mad, wondering where their package was. Customers receive a survey at the end of each call. Oftentimes people are unsatisfied so your manager tells you that your not meeting the customer satisfaction standards. It was very stressful.",Retail Generalist
3.0,Very Productive ,"Overall a good place to work, team work is essential.  The pace is very fast but achievable.  A lot of employees willing to help you comprehend and get through your work day.",Picker
1.0,Bad Experience in  Phoenix,One of the worst experiences I've had .,Driver
5.0,Productive and fun place to work,Loved my coworkers. Had a fun time operating the pit machines. Had good bosses. Had normal breaks. Only complaint is the shift schedule no time to sleep and then come back to work.,Warehouse Associate
1.0,Difficult environment to succeed in,"Amazon is a bizarre place to work. You will do well if you love being a super competitve atmosphere. However, if you like working collaboratively and learning from your peers, this is not the place for you. It is not worth the salary if you are miserable all the time. During my time there, we saw someone jump off a building because of the stress. ",Corporate Manager
3.0,Mediocre at best,"This job is very average, pay is good but breaks suck. Work is steady but also draining and repetitive. No one bothers you but it’s also impossible to find help if you’re lost. There are as many cons as pros which is fine for some people and too much for others. I was satisfied with this place until I found a better opportunity and left and never looked back. ",FC Associate
3.0,Work Quota,"The hourly quota they expect you to meet, especially at the end of the shift when your body is tiring out, is a  bit much. Considering how much this company makes off the backs of our hard work the pay should be increased  as well.",Warehouse Associate
3.0,Operations Manager,Great pay but very high expectations and not much for a work life balance.  You have the ability to make great process improvements and are challenged but be ready for long hours. ,Operations Manager / Multi Site Lead
5.0,I love working for Amazon because I've had worse jobs,"I have enjoyed my time at Amazon-- fast-paced work that I don't get bored doing for a decent pay rate. The benefits are great, especially the college reimbursement program and health/dental/vision. As long as you don't overuse and abuse your paid and unpaid time off, it's easy to accommodate a good work-life balance because you can take off whenever you need to. I like having a set schedule so there are no surprises (aside from mandatory overtime days that are clearly defined at date of hire). It's pretty easy to advance your career at Amazon if you have the ambition.",Learning Ambassador
1.0,It is dependent on where you go,"The warehouse I work for is very physically demanding. I knew this to some extent. However, this one is way more physically demanding then other warehouses (not that they tell you that beforehand). It requires you to walk the length of the football field everyday,constant standing and bending over, strenuous lifting, and if you don't meet the almost crazy times you get written up and later on fired. I heard the one by the airport is nice. Try working there instead.",Team Member
3.0,Not enough caring for there team members,Human resources do not try to help you on nights and always giving that feeling of loosing your job. No compassion at all. Not all are liked that but it is a few that throws there weight around.,Picker
4.0,"Good money, a job not a career","I worked night shift so it;s tough to get acclimated with the schedule. The pay is good especially on night shift, but it is a very bureaucratic company. ",Picker
5.0,Good Management ,I worked a few weeks and was offered full time immediately.  The company gives you 30 unpaid time off the back and you earn PTO every pay period.  Nice group of people to work for and was offered a second position after 3 months. Loved this job!,Process Sorter
4.0,Productive but tedious work most days,"Depending on your job, working could be pretty laid back with the exception of extremely busy order days. I was an order picker so I mostly worked continuously all day unless the robots or the conveyor malfunctioned, which was about 2-3x a week so I just brought a book for those times. Most managers are pretty cool but you’re always gonna have a few that get under your skin for whatever reason. Overall it’s a good job, just physically demanding and time consuming. ",Picker
5.0,Good pay for repetitive work,"Overall I enjoyed working at Amazon. My job was a warehouse employee and I enjoyed getting paid $15 an hour and how easy the hiring process was. The job itself was fairly easy with occasionally having to lift a very heavy item. However, coworkers were usually always willing to give a hand.",Warehouse Associate
3.0,Picker,"Easy work, comes with great benefits. Hard to advance. You always see new faces people don’t stick around for a long time. Great starter or in between job but nothing more",Picker/Packer
4.0,Productive place to work ,Everything is always moving. No rest time. Alright pay for the work being done. Managers are lenient with many of the rules. Fun people to work with. ,Amazon Fulfillment Associate
2.0,Amazin does not allow their employees to even prosper in the company.  Constant turnover,If you need a job and insurance to take care of yourself and family. Amazon has those opportunities.  However be prepared to be hounded for hitting rate daily.  You're given a very short time to dwell in that area,Packer
1.0,Horrible place to work!!!!,You are just a number!!!! Obscene amount of favoritism!!! Horrible place to work!! All they do is harass you!! Stay away!!!!! Poor management!! Don't do it.....,"Order Picker/Forklift Operator,"
1.0,Brutal,"Easy as heck, but the repetition gives you too much time to think. You can pack over 30 boxes in 5-10 minutes, which makes time seem super slow. Breaks are 3.5 hours apart.",Packer/Fulfillment Employee
3.0,Boring and Tiring,"The job itself is very tiring and mundane. Sometimes you are backed up and sometimes there is nothing to do. When there is nothing to do, often times the managers expect you to do something and they constantly bug you. This warehouse handles mostly large packages.",Sortation Associate
3.0,Productive and fun work,"If you want a part time with flexible hours then thus is the right place for you is all day shifts and you get plenty hour if they need you, but is very poor management ",Associate Warehouse
2.0,Unorganized management,Unorganized management amazon is a place to work . Management doesnt know what they are doing. Lots of unfair treatment and favoratism. Cool for a temp first job,Associate
3.0,Great place to Start ,"Great work culture, Great benefits and pay, open door policy, management engagement with associates is pleasant, fun activities and events , free meals sometimes . The only thing I didn’t really like is the “ organized chaos” management would labor share you to different departments",Problem Solver/Ambassador
4.0,The job is boring. But there is tons of opportunity for advancement.,"The job is boring, you’re doing the same thing all the time and you can’t listen to music .but there is tons of opportunity for advancement. Management is super helpful if you want to climb the corporate ladder",Order Picker/Forklift Operator
2.0,Definitely not an easy paycheck,"There were good days and bad days, but overall the expectations are too high, even for what seems like good compensation. Expect 50-60 hour workweeks with no breaks even for lunch. There is almost no training for AMs, they just throw you on the floor and expect you to know everything. I did enjoy getting to know associates and helping them, though.",Area Manager
3.0,Lots of overtime opportunities ,Lot of overtime opportunities if you’re looking for them high stress during nov-dec which is called peak season because it’s the highest volume of sale. ,Packer/customer care
4.0,Good Place To Work ,Very Easy Job. Managers are friendly. They help you with everything you are tasked. Friendly people you work with. Clean environment. Pay could be better. Benefits are also be better. ,Warehouse Associate
3.0,"Good hours but lack of growth, no one teaches you other jobs.",I like that it's a very productive job site. What I don't like is I haven't learned very little since I have been with the company. I also feel like there are very few supportive team leaders. I have only meet 2 since I joined the company in April 2021.,Package Handler/Sorter
2.0,"Fast pace, lots to learn ,very stressful, hours","Wow, what can I say it's alot. If you think your ready think again.  Honestly, this company cares about meeting metrics, goals,etc.  Pays little to no mind to their AM's.  You either learn to be resilient quickly or you feel like your drowning. The scheduling is tough on your body, if you struggle with anxiety I wouldn't recommend this unless you feel ready for the stress.   Depending on the people you work with it can be toxic, pay is okay but realistically not enough for the health, work or stress that the role puts you in. Think twice if youre a college hire because it's not for everyone. ",Area Manager
3.0,Okay place to work,"Training wasn’t that great, they throw you into the job. The pay doesn’t match with the amount of work you have to do daily. The scheduling is flexible but that’s if you click into the shift bids in time.",Flex Customer Service Representative
2.0,Long hours and repetitive ,"10 hours standing in one place doing the same thing takes a toll, the pay is good for the level of work but the management in whole leaves a lot to be desired.",Amazon Fulfillment Associate
4.0,"Good money, a job not a career","I worked night shift so it;s tough to get acclimated with the schedule. The pay is good especially on night shift, but it is a very bureaucratic company. ",Picker
3.0,Benefits,"It’s a job. Expectations are high, and it’s hot in the warehouse. Break times are cut because by the time you get to break from walking/going down stairs, a chunk of your break is gone, because you need to count that same amount of time going back up. ",Inbound Stower
2.0,"Decent pay, hard work, no flexibility, management could care less about you","Working in the logistics warehouse was a nightmare. Constantly understaffed, and required to work 50 hours a week at times, and 60 hours a week during “peak” times. You can’t take a moment to rest outside of scheduled breaks or else you can be written up. Unless you pass out or throw up first. Their pto system and time off system is flawed and unless you don’t want to lose your job don’t plan on taking many days off if you’re sick or want to take time off for a trip. The only upside was the insurance and pay. Overall the managers only seem to care if you’re dying or kissing their butts",Warehouse Associate
4.0,"Good first job, but they keep workers disposable ",Overall it was okay. They cut everyone’s hours during the pandemic and many people were forced to resign or just we’re no longer scheduled. Pretty basic job.,Grocery Associate
2.0,Fine,"Good for beginners  to learn what work really is and show them what speed they need. It paid good, but after a while find another job that you like.",Warehouse Worker
1.0,If you value family don’t bother! ,Terrible. Management is not helpful they time you on EVERYTHING YOU DO! you are just a number they care more about production then they do you! No work to life balance mandatory overtime! If you have young kids I wouldn’t do I never saw them! It is a very physical job! 10 hour days! I lasted a year will never go back they do not respect you. They run it like a sweat shop it’s even worse come Christmas time if you have family don’t expect to see them! ,Warehouse Worker
2.0,You are just a number ,"The only good thing about working here is the UPT/VTO system.You can get up to 80 hours of Unpaid Time Off per year, and it allows you to submit time to cover your shift so you don’t have to traditionally call out and deal with the hassle. Aside from that, you are just another person working there that they can replace in a day. It doesn’t matter how long you’ve been working there. All the managers care about is meeting the daily goals even if it means overworking the good employees while allowing lazy employees to do almost nothing. They show you very little appreciation and will abuse your work ethic at every opportunity.",Sortation Associate
3.0,Something to pay the bills,"If you need a quick job, this is it! Don’t expect to advance and don’t look for friends..high turnover rate, shady coworkers and management. Work can be boring and repetitive ",Stow Associate
5.0,Customer service,The job is flexible and allows me to have excellent work-life balance. The job allows me to set my own hours and use my skills to assist the customer.,Customer Service Representative
4.0,Enjoyed working there management sucked.,Amazon was a good company to work for the set schedule I enjoyed.. peak season not so much.,Lead Problem Solver
4.0,Not bad to work at,"The job can be difficult physically due to the weight of items, the great number of items needed to be carried and the speed at which you need to carry them.",Warehouse Associate
2.0,Not a good workplace,"This job is not meant to have you stay there for more than a few months. Working at amazing can easily be incredibly hard on your body and you wont have much time to spend with family during the days you work. Management is constantly threatening to fire you/ demanding you work harder. You have to bend over backwards to get any sort of higher position from base level unless you seriously kiss butt. And if you are injured/ finally get sick of dealing with management kids your job goodbye because they will fight to deny you any compensation/send to their doctors and refuse to hear anything yours will say/do find a way to get you fired once you return back to work. Also 90% of over time is mandatory, regardless of what you say you can/can’t do and you will be penalized if you aren’t able to go to any mandatory overtime they throw on you.",Inbound Stow Process assistant
1.0,Sad and Draining ,Amazon will over work you . Be mindful that the schedule of hours you have will place and impact on your body  10+ hours of standing on your feet doing the same job over and over with no time to sit or relax yes you get a break but 2 30 min breaks don’t cut it for the pay ,Warehouse Worker
3.0,productive,Management loves to play favorites. If you aren't one of the few chosen they don't care about you as long as the work is getting done. Safety is preached but not enforced.,wherehouse worker
3.0,Strict but worth the money.,You can not breathe without permission and they give you 2 10 min breaks and a 30 min lunch. Amazon is such a big place that it takes 5 mins just to walk from your stations to the break room to sit down for 5 mins then you have leave. Almost every job on the floor is tedious and absolutely boring once you get the hang of it. But the pay was good.,Order Fulfillment Associate
3.0,It's ok,It's ok. It's so hot though. Those electrolyte drink additives they have are pretty great though. A lot of snot nosed rude punks work there sadly so that's a thing.,Air
1.0,awful place,"This work place was quite horrendous,i witnessed a few people collapse from exhaustion in my time here.Management was barely around at all.Covid was spreading like crazy.",Warehouse Associate
3.0,Could be worse,There's good and bad like everywhere else. The pay is decent but other places in the area pay more. The benefits are great. It's often incredibly frustrating working with lazy people or without the materials needed to do your job. ,Sortation Center Associate
3.0,"Competitive Pay, lots of walking, poor company","Amazon pays fairly well. You will be doing 15-22 miles of walking a night, and as such you will begin to see yourself in shape. The HR system is a joke, and when amazon inevitably messes up your time off, or messes up your pay check you have to jump through hoops just to fix it. The time off policy is bad, and amazon hires far too many supervisors. Too many cooks. ",Material Handler
3.0,Coworkers are fun but overall its ok.,Overall a good place to work. Coworkers are nice and getting the option to work from home is nice. Did not really like getting moved around a lot and switching teams. Management is ok but can be better.,Transportation Specialist
3.0,productive ,nice place to work to save a check but they need to raise the pay. alot of work and some stress but i was always up for the task. stowing was my thing and if you pushed yourself you can ease your way up the ranks ,FC Associate I
4.0,"Good money, a job not a career","I worked night shift so it;s tough to get acclimated with the schedule. The pay is good especially on night shift, but it is a very bureaucratic company. ",Picker
5.0,It's a job but gets repetitive. ,The job was laid back. As a PA you are in charge of 20-50 AA's depending on your department. At the end of the day as long as your AA's are packing fast you will be ok. ,Process Assistant
4.0,Right manager for you is key,"Not bad as long as you apply yourself. However, be wary of getting a manager that does not line up with you. Amazon values employees in that it makes life easy for all but you can see that the bottom line is most important and it's a means to the end goal. If you do get leadership you don't align up with record everything and apply to other jobs in company. Your current manager is god for all intensive sake and if they like you you are gold, if they don't then you are out like trash. it's all their opinion and that's how the company will see you.",Team Manager
1.0,Management ,"Amazon only cares about their customers, they don’t care about the workers at all worst job ever had the pay is not enough for that work place. It’s a lot of favoritism as well",Amazon Fulfillment Associate
5.0,Great place to get some good money but it's alot of standing and attitude but if you can ignore good place to work,I found the experience to be Good I don't like evthing is done from your phone but it was good place to learn and even move up if you stay long enough you could earn ,wharehouse worker
2.0,Slavery and Sadness,"If you want to work long hours and short breaks in comparison to how large the facility is clocking out for lunch alone takes away majority of the lunch, struggle to even have time to get a bathroom break without managers writing you up then this job is for you. ",Warehouse Worker
5.0,Easy work.,"Good place to work in, just do the same thing over and over. You get two 30 min breaks. No need to train everything is pretty basic and common sense. ",Stower
2.0,Management are only number focused .,"Great benefits ,ok pay ,BAD working conditions .Horrible management .Expect production numbers don't offer production type incentives.",Full Time Warehouse Associate
3.0,The salary,"Lock of managers support.  Constantly warnings for anything like not reaching their goal , for counting error, for missing items,  for going minutes arly to break or coming late from break having only 30 minutes you have to have long walks in order to have a place to seat .",Warehouse Associate
3.0,Physical work,Worked at delivery station had to stow and pick and stage all in one day. Very physically demanding had to lift bags that were 60lbs or heavier and push carts that were at least 200lbs at times. ,MCO
4.0,Productive and laid back,Amazon was pretty easy to start in. The moment you walk in it is organized and they train you for 3 days in whatever department you land in it can be pretty random.,Warehouse Associate
1.0,Horrible company,They treat you like you're replaceable because you are. They give you inhuman workloads and expect you to be done on time every time. The do give benefits but that's the only good thing about this job. ,Driver
1.0,Internal vs external,If you are trying to be promoted from within the company it is not worth the salary. Internals moving up get paid way less than external outside hires. Another thing is that amazon has a metric to meet on hiring external managers so even when there is spots open for internal promotions they won't allow it to ensure the external metric is met. I am leaving after 3 years of trying to move up because it is not worth the stress and pay. Another thing is that amazon loves to hire rude managers who only care about numbers not that we are people. It is very harsh to work in an environment where I get yelled at for drinking water after hard work.,Process Assistant
4.0,"Good place to work at, but prepare for time changes (and a car).","I was looking for a job that would keep me working while having the managers care about me. Amazon was the place I was looking for and did a good job training me and putting my safety first. It was not flawless however, as I personally lacked a car to get there as the CNO5 does not have very good public transportation options to and from there. Another problem is the constant flex ups (work an additional hour) due to poor management, which happened 90% of the time during my Twilight shifts. If you can manage those however, you can make the most out of it and possibly get promoted.",Associate
3.0,Unfair,"There were long hours and mandatory overtime felt unfair. Easy to learn new things but moving up would be a little difficult. Pay was decent though; which, was only due to the night differential.",Associate
2.0,Not sustainable long term,"Not sustainable long term. Goals become unrealistic if your a person who needs to drink water, eat lunch or use the bathroom in a 10-12 hour time span. The pay is great but the intentionally create conditions that promote high turnover. It’s tempting but please find something else.",Jackpot/ Problem Solve Team
3.0,Bearable ,"No real sense of advancement unless you are closely connected to management in your personal life. Overall, they get feelings mixed in with work which becomes a mess. Pay and benefits are good but this job is only for a short term. ",AFE Packer
1.0,Ok,No time off. High turnover  no work home balance . Low pay. ,Fleet Mechanic
1.0,Never work here,"Every bad thing you have ever heard about amazon is true. The pay is not worth it, everyone is mistreated, you are just making bezos richer and who wants that?",CSA - Customer Service Associate
3.0,Eh,Amazon is a good company. The Management is okay and works right along side of their employees. I'd say like anywhere the hard part of the job is dealing with standing for hours.,ICQA Associate
3.0,Monotone work,"The work is monotone and is mentally numbing. You sit and take items from the belt to stack on pallets for 4 hour shifts. Cellphones when I worked were allowed but you were strongly discouraged from using them, it was a ""safety hazard."" The food in the cafeteria is overpriced and was rather bland. You expect the work but at my building it can suddenly have an influx because the Ops managers decided they were backed up, so suddenly enough packages to jam the line would come; That'd be manageable if it weren't understaffed, but you could expect 6-8 T1 employees on a line meant for 18 people; That caused it to back up when the package load was heavy. Most employees either didn't meet scan rate or were skimping bye so you'd be forced to pick up their slack or the line would blue light. That's when you'd be given a ""verbal coaching."" There's basically no perks except Healthcare, Dental, and Vision; Which are good, but the ""other"" perk is $100 off any AMAZON item, did I make that clear? Only Amazon items got thaf discount, which were few and far between. There's no give or comprimise with Amazon, if you can't make it, you can't call out, you have to use the unpaid Time Off they alot you, which is only 20 hours every quarter of the year. They offer three types of employment, part time, Reduced time(32hr), and full time. However, be ready because they can flex you up as little as 20 minutes before the end of your shift and now you have to stay an hour later or use your time. The management doesn't care about you, because your a number and means to their fat bonuses. Oh, you thought",T1 Blue Badge
4.0,"Good money, a job not a career","I worked night shift so it;s tough to get acclimated with the schedule. The pay is good especially on night shift, but it is a very bureaucratic company. ",Picker
1.0,boring af,"you will not like it, it is the most boring job you will ever work in your life. shifts were 12 hours with 3 breaks. had to wear masks at all times unless at lunch in your confined little spot.",Full Time Warehouse Associate
3.0,You're here for the paycheck.,"It's an alright place to work. I never felt like I was underpaid, but often felt overworked. Management is a rotating door; many of the employees last longer there than the upper management. There's zero job security; they'll take anybody, but if you can't perform your duties they'll replace you quickly and easily. They will move you around between jobs all over the facility, and advancement is a rat race.",Warehouse Associate
3.0,management and paid,"Always switch managers and PA, when they get in new position they have no experience and they don’t know how to manage it. Always try to use over authority. ",unload the truck
1.0,Fire happy,"They terminate employees for no reason. They like terminating even if the employees are at good rate at the docks, benefits are good, pay was okay, your situation may vary.",Warehouse Associate
4.0,Productive fast paced,Very strict especially covid. A lot of mandatory time per business need. Work most holidays closed Christmas and half day thanksgiving. On your feet a lot. It’s hard work ,Process Assistant
2.0,Den of Lies,When you apply for Amazon remove the idea of being able to slide into a role you enjoy. 9 out of 10 times you will not be placed in a good role. Best chances are jumping into a facility that just opened. Yet the older the location the harder it is to advance. Before I came people were able to move department to department without issue. Now it's if you're there they don't want you transferring unless you are at least 4-6 months old. The awful part is the app says 30 days of employment to transfer. It's a lie it's really a minimum of 60 at most locations. ,Amazon Warehouse Associate
5.0,No brainer job,"Working as a warehouse worker at amazon was a pretty decent gig. You may dress how you want, you dont have to talk to anyone, all the work is on you. No BS job. It was pretty easy and it was just straight physical labor. Come in, do your job, and leave. VTO made it easy to balance work and life. Great sidejob or job for high schoolers or anyone looking for an extra few bucks. Pay was not bad either. ",Warehouse Worker
1.0,Stressful company,"Great onboarding, great culture on training but then reality hit. Anxiety, stress, pressure, KPI's, performance!!! Honestly it's so mich better  to remain an Amazon customer rather than an employee.",Customer Advocacy Leader
5.0,Stocker,Paid is 15.50,Scanning Clerk
5.0,Easy to Rank up,While i worked there i was always getting vto and easily ranked up somehow. I knew of my manager thru the amazon app but i legit barely ever saw him nor met him. ,Picker/Packer
3.0,Productive  and fun work  place ,Enjoyed driving for them .but did not like delivering  alone after dark.feel like there should be teams after dark..love the job just just feel it could be dangerous  at alone,Dilivery driver
3.0,Good company most times,"Good pay and hours, didnt have much free time. However sometimes the checks and incentives were definitely worth it. So all and all it was a good company.",Call Center Representative
2.0,Unorganized ,Very unorganized and no room to advance. You are constantly on your feet and you barley see team leads or management. Your kinda thrown into your job but the pay during peak is nice ,Picker/Packer
1.0,Horrible,"This is a job that u work while looking for another job. Honestly, its terrible. Standing for 10 hours, expected to work at top speed for entire shift. And 12 hours mandatory time is the new standard for mandatory days. If u don't make rates, u will be written up and eventually fired. If u go to the bathroom too much, u will be written up and fired. U are a number, nothing more. ",Associate
1.0,Fresh association ,Listen this is not a job that you want to work at and the reasons are it is very fast pace and your back will hurt and the benefits are pretty much non existed to at this point. I will never work here again,Fresh Associate
1.0,Modern day slavery,It’s all about numbers there. Time off task (TOT) is ridiculous. It was overall terrible. The only thing that kept me going was some of the people I worked with.,Returns Processor
4.0,Overall it’s a good job and good working environment.,"It’s good if you’re looking for a job that doesn’t require a lot of work. The working environment is okay. People don’t really talk, everyone just tries to get their work done.",Amazon Warehouse Associate
